data,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media
2017-01-01,617.7996583333332,599.8033625,0.0,30.318041666666673,28.722791666666666,66.47716666666666,60.17462500000001,2145.823333333333,21.408342083333334,20.31201125,29.54324166666667,63.17495833333333,1.1325433529166666,5.960620166666666
2017-01-02,620.1472958333333,599.7951,0.0,29.630875000000003,28.269416666666668,67.4885,61.22308333333333,1951.8496666666663,21.26438333333333,20.06185875,28.910676249999998,64.43673541666665,1.0876244333333336,5.421804708333333
2017-01-03,620.2126625,599.8176083333334,0.0,29.409916666666664,28.00558333333333,70.00179166666668,64.12449999999998,2104.909208333333,21.635285833333338,20.695278750000003,28.650169166666668,67.0026958333333,1.6307871041666668,5.846970249999999
2017-01-04,616.1654374999999,599.7879749999998,0.10583333333333333,29.755875000000007,28.265958333333334,69.87983333333335,63.22779166666667,1963.737875,21.848865416666666,20.813229166666666,28.88110208333333,66.91486625,1.921033054166667,5.454827250000001
2017-01-05,619.3783166666666,599.8029916666668,0.0,28.977791666666672,27.437291666666667,70.60875,64.29954166666666,2001.953125,21.344599583333334,20.438309583333332,28.1671975,67.43400791666666,1.197141130375,5.560980708333335
2017-01-06,616.9293291666668,599.7992916666667,0.0,29.410249999999994,27.943458333333336,64.78262500000001,57.74087500000002,2063.820541666667,19.873571666666667,18.02656125,28.664397083333338,61.02787333333333,0.8975288258333333,5.732835041666665
2017-01-07,616.3259416666667,599.8107333333334,0.0,29.509041666666665,27.90758333333334,68.32637499999998,61.34787500000001,2165.2642916666664,21.057165,19.65971875,28.665159583333338,64.8199304166667,1.078961095833333,6.014623083333334
2017-01-08,616.945725,599.7747541666669,0.0,29.320458333333335,27.89925,64.54775000000002,58.44766666666667,1968.6674583333336,20.201919166666666,19.028332083333332,28.550828750000004,61.3928675,1.487610049125,5.4685205
2017-01-09,618.5651,599.8219208333334,0.0,29.081374999999994,27.66095833333333,69.75366666666666,63.62029166666667,2004.2451250000001,21.386534166666664,20.246472499999996,28.38453458333333,66.44155500000001,1.2972106329166666,5.567347458333334
2017-01-10,615.3851416666665,599.7841583333335,0.60325,28.668374999999997,27.004541666666658,74.28687500000001,66.73441666666668,1854.9003333333333,22.102345,20.94109666666667,27.68120875,70.79700333333334,1.4186516191666667,5.152500791666667
2017-01-11,617.3710374999999,599.8157041666666,0.0,27.456125,26.36666666666667,79.03425,73.49074999999999,1853.1600416666663,22.48156291666667,21.666978333333336,26.88664916666667,76.36147958333332,1.4137729995416664,5.1476667083333325
2017-01-12,618.6073083333334,599.7968791666667,0.0,29.072291666666672,27.731666666666666,70.692375,64.82208333333332,2109.5359583333334,21.362696250000003,20.294284166666667,28.410766249999998,67.50646666666667,1.32591721125,5.859822208333333
2017-01-13,617.0388416666666,599.7691541666667,0.0,28.89666666666666,27.510625,69.72995833333333,63.856083333333345,2035.5807499999999,21.182844583333335,20.08307041666667,28.178564166666664,66.81133291666667,1.3621555729166666,5.654391125
2017-01-14,618.7453083333334,599.7734666666666,0.0,29.180833333333336,27.861166666666666,64.83024999999999,59.471250000000005,2018.5584166666665,20.310350833333334,19.316043333333333,28.509900416666657,62.07630583333332,1.2539176791666664,5.607106625
2017-01-15,620.2660958333332,599.7680083333333,0.0,29.185958333333343,27.674041666666668,72.14870833333332,65.63512499999999,2045.3624583333333,22.052130000000005,20.947128749999997,28.37665291666667,69.06276291666667,1.3256423233333332,5.681562249999998
2017-01-16,617.8394875,599.8056583333334,0.010583333333333333,28.643125,27.419208333333334,71.31945833333334,66.15825,1848.669791666667,21.73352083333333,20.99200958333333,27.998874583333333,68.82928208333334,1.3508246529166668,5.135193791666666
2017-01-17,619.3748791666666,599.7738583333332,0.0,29.141375,27.828,66.16054166666667,60.987166666666674,1886.651291666667,20.484620833333334,19.681147500000005,28.410931250000004,63.807516666666665,1.7531597708333335,5.240698583333333
2017-01-18,617.8142916666667,599.7780583333333,0.0,29.318083333333334,27.855208333333326,70.60474999999998,63.97070833333334,1996.5780833333336,21.815813333333335,20.645974583333338,28.568397500000003,67.20206875000001,1.2549537,5.546050208333334
2017-01-19,619.8855333333332,599.7996750000001,0.0,29.439374999999988,28.121291666666668,71.30049999999999,65.60841666666668,1875.843916666667,22.1114875,21.10431166666667,28.77544125,68.13983874999998,0.9839410195833334,5.210677791666666
2017-01-20,620.1492041666668,599.7942083333334,0.0635,28.496125000000003,27.297458333333335,74.39575,69.15233333333333,1832.769,22.236214166666667,21.31205125,27.84034083333334,71.83585541666666,0.8106915633333335,5.091024916666666
2017-01-21,617.8388375000001,599.8071791666666,0.0,29.549749999999992,27.854041666666664,67.12479166666667,60.557874999999996,2022.4536666666663,20.97935875,19.800830416666667,28.64175916666667,63.80451625,1.2234143825,5.617926958333334
2017-01-22,616.9429083333332,599.7767708333332,1.4181662499999999,29.335791666666662,27.525083333333328,72.71804166666665,65.2975,2011.231,21.918526250000003,20.7980225,28.450495000000004,68.90190333333335,1.7121469041666666,5.586752874999999
2017-01-23,614.3068416666667,599.7854291666667,0.07408333333333333,28.995833333333334,27.27004166666667,73.86049999999999,66.933,1985.5779999999997,22.047,20.95666791666667,28.058419999999998,70.51346749999999,1.270830474583333,5.515494416666667
2017-01-24,617.4286625,599.8015791666666,0.010583333333333333,29.55225,28.246499999999997,67.730375,62.18354166666665,2037.3485416666665,21.268937500000003,20.183105416666667,28.889299166666675,64.81829125,1.71328418125,5.65930175
