data,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media
2017-09-24,615.2332708333332,599.8005583333332,0.0,28.514750000000003,26.669583333333332,66.16066666666667,58.81808333333333,2180.099041666667,19.244335833333334,17.93079916666667,27.495174583333338,62.851973749999985,0.87623553875,6.055830541666666
2017-09-25,617.0500208333333,599.7761458333332,0.0,28.314500000000006,26.626708333333337,63.90112499999998,57.60295833333333,2145.018958333333,18.856666666666666,17.734473750000003,27.430004999999998,60.55333166666667,1.3409692624999998,5.958385875000001
2017-09-26,617.9043458333333,599.7935666666666,0.0,28.618750000000006,27.09808333333333,61.30024999999998,54.73029166666668,2484.373583333334,18.16873583333333,16.947097499999998,27.84070416666667,57.82764208333335,1.3723640958333334,6.901037875
2017-09-27,615.3440541666668,599.8076791666666,0.0,28.760500000000004,27.00679166666667,67.34779166666668,60.82020833333333,2407.267833333334,19.91856125,18.817089166666666,27.84644416666667,63.727797916666674,1.3069098125,6.686855333333335
2017-09-28,617.0214,599.8065499999999,0.0,28.71041666666667,27.006291666666666,67.64183333333334,61.45645833333333,2330.0524166666664,20.098874166666665,19.12359208333333,27.835808333333333,64.46862833333334,1.3036225833333333,6.4723677916666675
2017-09-29,616.1350291666665,599.7704083333333,0.0,29.000083333333333,27.310958333333335,64.27608333333335,57.828,2302.981791666667,19.56615375,18.52289625,28.10970958333333,61.04195791666667,1.3013945433333334,6.3971718750000015
2017-09-30,617.8875541666666,599.7972583333334,0.0,28.208291666666664,26.57816666666667,62.248500000000014,55.59812499999998,2347.570083333334,18.192989999999998,16.961448333333333,27.371174166666666,58.73109250000001,1.192231052208333,6.521028083333333
2017-10-01,617.8318375,599.8332708333335,0.0,28.41241666666667,26.78325,64.32166666666667,57.64029166666668,2299.8411250000004,18.50713833333333,17.12023041666667,27.55988166666667,61.043181666666676,1.2818258195833334,6.388447375000001
2017-10-02,618.6879458333333,599.7615166666668,0.0,28.271416666666664,26.808374999999995,65.83866666666667,59.88783333333333,2245.7479166666667,19.391967499999996,18.38707916666667,27.51498875,63.04256583333333,1.721756445833333,6.238188666666666
2017-10-03,612.0753333333333,599.8182458333333,0.0,28.46716666666667,26.82916666666667,66.285875,60.25162500000002,2178.5939583333334,19.93460125,18.867546666666673,27.597711250000003,63.33239750000001,1.3315132916666668,6.051649416666666
2017-10-04,616.2730250000001,599.7975124999999,0.0,29.00858333333333,27.33220833333333,64.88445833333334,58.38754166666667,2287.7965833333333,19.621068333333334,18.419856250000002,28.159532083333335,61.224134166666666,1.3859896866666663,6.354990333333333
2017-10-05,617.9058583333334,599.7978916666667,0.0,29.061458333333334,27.402041666666666,65.89341666666667,59.39720833333334,2283.5491666666667,19.804760833333336,18.64019666666667,28.192172083333336,62.51408708333333,1.5224829079166664,6.343192166666668
2017-10-06,616.3553250000001,599.8019583333333,0.0,28.613708333333335,27.156333333333336,62.167291666666664,55.322125,2284.7308333333335,18.50524291666667,17.063331666666667,27.875731666666667,58.48269083333333,1.3891380333333334,6.346474458333333
2017-10-07,613.7607041666666,599.8257541666667,0.0,29.035708333333332,27.377458333333337,61.412,54.30725,2402.0774166666665,18.73483208333333,17.34182625,28.167379583333332,58.04414541666666,1.1257755420833335,6.672436833333333
2017-10-08,617.7559041666667,599.7930583333332,0.0,28.897458333333336,27.0675,67.98216666666669,60.39666666666665,2369.1090416666666,20.04835458333333,18.675632499999995,27.939400000000003,64.29118541666666,1.0763773279166668,6.580858708333333
2017-10-09,617.8773749999999,599.811625,0.0,28.708291666666668,26.928916666666666,68.74483333333332,62.13979166666667,2230.611208333333,20.40130125,19.24409625,27.821562916666668,65.20036958333334,1.0851129120375,6.196142708333333
2017-10-10,617.0554833333332,599.7869458333334,0.0,28.669166666666666,27.01291666666666,64.26529166666667,58.28529166666667,2250.2695,19.47357583333333,18.319238333333335,27.798005,61.29531041666669,1.487523095,6.250748333333333
2017-10-11,614.6351125,599.7985208333333,0.0,28.874541666666673,27.390124999999998,65.906625,60.30791666666667,2184.121666666667,20.1695725,19.20508125,28.111553750000002,63.01003500000001,2.0958998333333336,6.0670045
2017-10-12,617.0908458333332,599.7958541666666,0.0,28.684750000000005,27.288375000000013,65.82000000000001,59.923625000000015,2244.2071250000004,19.836766666666666,18.753757500000003,28.040401666666664,62.366003333333346,1.563645875,6.233908416666668
2017-10-13,617.0234416666666,599.77895,0.0,28.87204166666667,27.237958333333328,64.55220833333335,57.95408333333333,2294.96125,19.346632916666668,18.02504583333333,27.997978333333336,61.40190666666668,1.455063625,6.374892500000001
2017-10-14,617.8776333333333,599.7644458333334,0.0,29.082374999999995,27.579624999999997,66.85495833333334,60.28220833333334,2234.7928749999996,20.258267083333333,19.076996250000004,28.333121249999994,63.528272499999986,1.8459548499999998,6.207758208333335
2017-10-15,618.0931083333334,599.7873375000001,0.0,29.064041666666668,27.468166666666672,68.99366666666668,62.72508333333334,2440.065958333334,20.957867083333333,20.103377499999997,28.26405625,65.8179475,1.942068916666667,6.777961041666667
2017-10-16,617.0427791666665,599.811375,0.0,28.363583333333327,27.035958333333337,69.71741666666667,64.36683333333335,2257.1356666666666,20.855570000000004,20.013646666666666,27.65925041666667,66.77918458333333,1.7872396041666665,6.269821583333333
2017-10-17,618.6219416666667,599.7715625,0.010583333333333333,28.838166666666666,27.344958333333334,66.00316666666666,59.75270833333334,2284.5501666666664,20.11931791666667,19.038825416666672,28.014213333333334,62.7991625,1.6752517791666663,6.34597225
2017-10-18,616.1847624999999,599.7895,0.0,28.71279166666667,27.030166666666663,67.24424999999998,61.03854166666667,2293.4615,20.003480000000003,18.986647916666666,27.801342916666666,64.34335374999998,1.6947568749999997,6.370726666666666
2017-10-19,617.859325,599.7915333333333,0.0,28.946250000000003,27.543666666666663,62.48816666666667,57.28062500000001,2381.557458333333,19.307443333333335,18.377616666666665,28.252350833333335,59.61780875,1.7035415375000003,6.615437166666665
2017-10-20,617.8354041666668,599.7629208333334,0.0,28.291249999999994,26.80316666666667,69.89729166666666,64.04804166666668,2135.098375,20.580763333333334,19.782985000000007,27.540202083333337,66.90710291666667,1.4615278370833333,5.930828833333333
2017-10-21,616.2509041666667,599.7849166666666,0.0,29.246791666666667,27.700749999999996,64.68449999999999,59.25454166666666,2281.0381666666667,20.070955833333333,19.213047916666667,28.457179166666663,61.95062083333334,1.9647857750000002,6.336216916666667
2017-10-22,617.0504041666667,599.7785541666668,0.0,29.160416666666663,27.516791666666673,61.63970833333334,55.83270833333333,2365.440875,18.9651875,17.912925,28.328322916666664,58.87042916666667,1.67504041875,6.570669374999999
2017-10-23,617.9487500000001,599.7841541666667,0.0,29.07008333333334,27.492374999999996,58.55208333333334,52.21733333333332,2383.995125,18.027250833333333,16.857662083333334,28.28945208333333,55.36109083333333,1.2801619345833333,6.622208624999999
2017-10-24,617.0543333333334,599.8055374999999,0.0,29.3605,27.840666666666664,67.43945833333332,60.84295833333335,2233.7369166666667,20.688079583333334,19.63419625,28.556407499999995,64.28481208333332,1.430214179166667,6.204825208333333
2017-10-25,618.6930416666667,599.7859416666666,0.0,29.750916666666665,28.294458333333335,61.55229166666667,55.448583333333346,2355.005791666667,19.46198916666667,18.264442499999998,29.02187375,58.535259999999994,1.5841521500000002,6.5416828333333354
2017-10-26,615.4425,599.7831375,0.0,29.350041666666673,27.829083333333344,66.74958333333332,60.37708333333333,2321.2157083333327,20.37676,19.375789999999995,28.59053208333333,63.309041250000014,1.4314873166666666,6.447821333333334
2017-10-27,617.8300624999999,599.7912749999999,0.0,29.348583333333334,27.839583333333337,65.52312500000001,59.741749999999996,2288.8926666666666,20.422455000000003,19.472307083333337,28.551573333333337,62.81792250000001,1.5878008250000002,6.358035166666666
2017-10-28,618.7371666666667,599.7766541666667,0.0,29.51304166666667,27.809291666666663,62.51770833333334,56.23958333333334,2261.575375,19.805118750000005,18.730471249999997,28.67282416666667,59.32045583333335,1.7167272883333338,6.282153458333334
2017-10-29,618.6887041666668,599.7605208333332,0.0,29.64970833333334,28.030541666666668,67.11854166666666,60.98645833333334,2285.109291666666,20.949675833333334,19.958649166666664,28.836629999999996,64.19516583333335,1.6114668875,6.347525791666666
2017-10-30,619.8045166666667,599.7604958333334,0.0,29.176708333333334,27.590166666666665,68.95799999999998,62.87100000000001,2309.1466250000003,21.092225833333337,20.209085833333333,28.377034999999996,65.90343708333334,1.9500677708333332,6.520702208333334
2017-10-31,618.4823333333333,599.790538095238,0.0,29.60995238095238,27.856190476190477,65.7874761904762,59.36757142857143,2411.1241428571425,20.63906142857143,19.663751904761902,28.72635333333334,62.56145000000001,1.8616907619047616,6.709309333333333
2017-11-01,617.4302599999999,599.803415,0.0,30.04665,28.27729999999999,65.75385,58.05954999999999,2417.40935,21.051456500000004,19.719502499999997,29.114378500000004,61.854079999999996,1.5697518979999998,6.83114535
2017-11-02,616.6265666666667,599.7707666666665,0.0,30.27857142857143,28.35785714285715,64.89409523809523,57.79066666666667,2283.4087095238096,20.71600571428571,19.484733333333335,29.243891428571423,61.799356666666675,2.1325683619047617,6.553727904761907
2017-11-03,617.5167238095238,599.7873333333332,0.0,30.247761904761905,28.540238095238095,60.425714285714285,53.893190476190476,2359.709714285714,19.535212857142856,18.188294285714285,29.350647142857138,57.35503809523809,2.229909904761905,6.61893080952381
2017-11-04,619.7827409090908,599.7668818181818,0.0,29.380545454545448,27.808000000000003,61.43654545454546,55.14845454545453,2368.600204545454,19.15575045454546,17.99375681818182,28.580258181818184,58.094699090909096,1.8049631227272729,6.6641747272727265
2017-11-05,616.9265347826085,599.7628347826086,0.0,29.468391304347822,27.896695652173914,62.69478260869564,56.2301304347826,2166.2867921739135,19.393469130434777,18.077641304347825,28.63480086956522,59.66163347826086,1.7764656013043483,6.262049478260868
2017-11-06,620.3012782608695,599.7572565217392,0.0,28.918608695652182,27.497739130434788,64.51217391304348,58.361086956521724,2379.097182608696,19.474351304347827,18.348420434782607,28.198172173913036,61.38660652173912,1.747908143478261,6.721105130434783
2017-11-07,617.7682260869564,599.786843478261,0.0,28.78208695652174,27.19526086956522,67.92726086956523,62.013695652173936,2249.43757826087,20.514690869565218,19.648370869565216,27.990900434782603,64.85792391304346,1.8210867608695653,6.365838695652173
2017-11-08,617.6527681818184,599.7695318181818,0.0,29.035909090909083,27.419318181818173,64.1539090909091,58.32013636363637,2330.544818181818,19.704552727272727,18.691103636363636,28.181309545454553,61.14120454545455,2.1150395272727276,6.640659
2017-11-09,618.5291272727272,599.7795136363637,0.0,28.649454545454546,27.137545454545457,66.1674090909091,60.4955,2239.4526727272732,20.061085,19.23687681818182,27.83700681818182,63.380216818181836,2.132199995454546,6.317223681818181
2017-11-10,616.8612181818181,599.7742363636363,0.023090909090909092,28.972727272727276,27.228909090909095,66.57322727272727,59.13740909090909,2413.855590909091,20.12598272727273,19.044758636363635,28.06212272727273,62.61368227272727,2.0771635909090915,6.733430590909091
2017-11-11,617.7321304347826,599.7780956521738,0.0,28.893695652173914,27.352478260869567,64.72560869565218,58.040869565217406,2345.251496521739,19.41295173913044,18.1450947826087,28.103401304347827,61.34817173913043,1.7786827434782606,6.817515826086958
2017-11-12,618.5800565217392,599.7544695652174,0.15460869565217392,29.330652173913034,27.61621739130435,66.33117391304347,59.30960869565218,2367.0399304347825,20.049393913043474,18.870904782608694,28.482596521739133,62.73874130434783,1.6070487382608694,6.69607052173913
2017-11-13,619.3654826086956,599.765491304348,0.0,29.24517391304348,27.625434782608696,67.93465217391305,61.90704347826086,2404.813865304347,20.709908695652175,19.9535852173913,28.42287347826087,64.94980826086956,1.7070350130434786,6.919887782608694
2017-11-14,618.5774,599.7758347826087,0.0,28.43095652173913,27.032826086956526,68.3235652173913,62.514086956521744,2361.232639130435,20.519996956521737,19.57154956521739,27.627388260869566,65.54738217391305,1.8196714652173918,6.742970304347828
2017-11-15,617.7292173913042,599.7804869565218,0.0,28.884478260869564,27.304217391304345,65.02869565217392,59.19282608695652,2310.7963086956524,19.79408652173913,18.77968130434782,28.004478260869565,62.1863043478261,2.1905902,6.566104173913045
2017-11-16,613.5685217391305,599.8064869565218,0.0,28.847217391304348,27.29547826086956,62.535043478260874,55.962391304347825,2352.5574565217394,19.07415391304348,17.96719086956522,28.095771304347824,59.0707804347826,1.3397523156521742,6.672902608695653
2017-11-17,617.7100999999998,599.7914956521739,0.0,28.37113043478261,27.01460869565218,65.76317391304349,60.051217391304355,2136.0375043478266,19.813999565217397,18.80243043478261,27.659925652173914,62.82069173913043,1.5898942391304345,6.1007564782608705
2017-11-18,616.1186826086956,599.7839304347826,0.0,28.473999999999997,26.89052173913044,68.39365217391305,61.99878260869564,2266.109391304348,20.255054347826086,19.28144304347826,27.659786086956526,65.10510956521739,1.5792493043478262,6.418164086956523
2017-11-19,618.5916130434782,599.7735869565219,0.0,28.856304347826086,27.35721739130435,65.11126086956521,58.591304347826075,2340.580049130435,19.482146521739132,18.220192173913045,28.110766521739137,61.816357391304344,1.7161202478260873,6.705800652173915
2017-11-20,619.4242826086955,599.7871130434781,0.0,29.416608695652172,27.833,65.97108695652175,59.79534782608696,2302.1404347826087,20.344043913043482,19.266501739130437,28.551257826086957,63.00934173913045,1.8439971999999998,6.429347869565217
2017-11-21,618.6345166666666,599.7701625,0.0,29.136416666666666,27.658291666666667,64.85641666666668,58.921833333333325,2321.9525416666665,19.665407499999997,18.626427916666664,28.384373333333333,61.86564791666666,1.9116377874999995,6.449868208333332
2017-11-22,618.5146391304347,599.7705260869564,0.0,28.595130434782607,27.25869565217391,66.21473913043478,61.343608695652186,2118.8655260869564,20.31626260869565,19.578639130434787,27.912906521739124,63.772800000000004,1.892899782608695,6.008089217391305
2017-11-23,615.7117882352942,599.7750000000001,0.0,28.161588235294115,26.724705882352943,71.45017647058825,64.66541176470588,2000.5864542941179,20.97787529411765,20.004153529411763,27.424736470588233,68.0981905882353,1.7968505352941178,6.000477294117648
2017-11-24,618.3546899999999,599.78756,0.0,27.937,26.724199999999996,70.43,64.69699999999999,2403.1346,20.875351,20.192363,27.248747,67.72843700000001,2.2510002,6.675373899999999
2017-11-25,617.5980333333333,599.7747777777778,0.0,26.162222222222223,25.260666666666665,77.0431111111111,72.86,2500.997666666667,21.037083333333335,20.542368888888888,25.6667,75.2608788888889,1.739529422222222,6.9472161111111115
2017-11-26,618.3061600000001,599.7609900000001,0.0,25.1606,24.4712,80.1935,75.6321,2459.7805300000005,20.800224,20.2273,24.812676,77.93251599999999,1.118327738,7.850407999999999
2017-11-27,618.38798,599.7692100000002,0.0,26.168599999999998,25.124499999999994,79.4769,73.35889999999999,2507.1580000000004,21.240159999999996,20.642043,25.678424,76.35491299999998,1.6061953300000003,7.510718100000001
2017-11-28,615.8306222222222,599.787011111111,0.0,26.67,25.588444444444445,74.37944444444445,68.88066666666666,2315.237866666667,20.622837777777775,20.113804444444447,26.121304444444448,71.75011555555555,1.8455026666666667,8.251288888888888
2017-11-29,617.1156333333333,599.7756333333333,0.0,27.488416666666666,26.43216666666667,72.65683333333332,67.60691666666666,2247.963341666666,21.044990833333333,20.470040000000004,26.9894425,70.11009,1.822952916666667,7.2296515
