data,et0
2017-01-01,0.05853736675000001
2017-01-02,0.048532031958333326
2017-01-03,0.06463881712500001
2017-01-04,0.0723622035
2017-01-05,0.04834153179166666
2017-01-06,0.05200710120833332
2017-01-07,0.04217206708333333
2017-01-08,0.05636293762500002
2017-01-09,0.049798368833333335
2017-01-10,0.049174930833333345
2017-01-11,0.040022481125
2017-01-12,0.06160352587499999
2017-01-13,0.053542269291666666
2017-01-14,0.05453691175000001
2017-01-15,0.05157846633333334
2017-01-16,0.04634444370833333
2017-01-17,0.07278042979166667
2017-01-18,0.05197521391666666
2017-01-19,0.04348887004166666
2017-01-20,0.02754774004166667
2017-01-21,0.04800123258333334
2017-01-22,0.05686608504166666
2017-01-23,0.04900698333333333
2017-01-24,0.06211028095833334
2017-01-25,0.057480437791666665
2017-01-26,0.06981151412500002
2017-01-27,0.055917247874999985
2017-01-28,0.04819495670833332
2017-01-29,0.06381066833333335
2017-01-30,0.06892562174999999
2017-01-31,0.042910464708333325
2017-02-01,0.048016376375
2017-02-02,0.06405798833333333
2017-02-03,0.07440809004166665
2017-02-04,0.08255907333333333
2017-02-05,0.06613952025000001
2017-02-06,0.07513730870833334
2017-02-07,0.06727125916666667
2017-02-08,0.05119172250000001
2017-02-09,0.04401119325
2017-02-10,0.04126675750000001
2017-02-11,0.0066057597500000014
2017-02-12,0.021477645791666666
2017-02-13,0.039391036666666664
2017-02-14,0.029018012833333325
2017-02-15,0.031513798333333336
2017-02-16,0.033024323791666664
2017-02-17,0.026576945875000008
2017-02-18,0.007770936749999999
2017-02-19,0.010907033958333331
2017-02-20,0.018256344875
2017-02-21,0.029280724499999997
2017-02-22,0.04043422562499999
2017-02-23,0.033128740375
2017-02-24,0.03212314779166666
2017-02-25,0.04426669591666666
2017-02-26,0.033439905124999995
2017-02-27,0.03073387141666666
2017-02-28,0.021720015458333325
2017-03-01,0.023601003833333325
2017-03-02,0.013988538291666667
2017-03-03,0.014348133875
2017-03-04,0.02928823870833333
2017-03-05,0.0347250065
2017-03-06,0.024473997375
2017-03-07,0.03181570170833333
2017-03-08,0.01695646283333333
2017-03-09,0.008020361083333333
2017-03-10,0.016247767250000003
2017-03-11,0.006985833583333333
2017-03-12,0.011215315208333331
2017-03-13,0.015787277333333332
2017-03-14,0.005313482291666667
2017-03-15,0.01722331808695652
2017-03-16,0.01642410275
2017-03-17,0.015191801083333333
2017-03-18,0.011699011208333337
2017-03-19,0.026225858291666668
2017-03-20,0.031712726208333326
2017-03-21,0.027507939500000005
2017-03-22,0.02287416391304348
2017-03-23,0.004127010458333334
2017-03-24,0.016856570333333334
2017-03-25,0.022711303083333332
2017-03-26,0.03320787073913043
2017-03-27,0.021987872000000002
2017-03-28,0.02568944466666667
2017-03-29,0.023906089333333335
2017-03-30,0.014303352708333333
2017-03-31,0.013519193625
2017-04-01,0.017983516749999994
2017-04-02,0.012810677833333332
2017-04-03,0.02132711104166667
2017-04-04,0.025351820833333327
2017-04-05,0.013483619791666667
2017-04-06,0.025013930416666663
2017-04-07,0.026773743416666662
2017-04-08,0.01685349
2017-04-09,0.028106194083333327
2017-04-10,0.01522413620833333
2017-04-11,0.014500363750000002
2017-04-12,0.017113334666666667
2017-04-13,0.01550412704166667
2017-04-14,0.015488783375
2017-04-15,0.02468282666666666
2017-04-16,0.028011868000000006
2017-04-17,0.02604416283333333
2017-04-18,0.01588800625
2017-04-19,0.016067418541666666
2017-04-20,0.01876886625
2017-04-21,0.02067356525
2017-04-22,0.014297464416666667
2017-04-23,0.021351186083333334
2017-04-24,0.023560066916666664
2017-04-25,0.03237304041666667
2017-04-26,0.02542344175
2017-04-27,0.024657820875
2017-04-28,0.019515820583333333
2017-04-29,0.017459242416666663
2017-04-30,0.008633200541666667
2017-05-01,0.021254931125
2017-05-02,0.025750389125
2017-05-03,0.018340672
2017-05-04,0.019825456583333335
2017-05-05,0.02189794529166667
2017-05-06,0.019385595874999998
2017-05-07,0.020478365249999998
2017-05-08,0.014849950958333332
2017-05-09,0.015313161499999998
2017-05-10,0.016850385458333332
2017-05-11,0.0196675565
2017-05-12,0.019096733499999997
2017-05-13,0.015689261958333332
2017-05-14,0.020164914166666662
2017-05-15,0.021071616708333334
2017-05-16,0.028981142291666664
2017-05-17,0.029108153875000004
2017-05-18,0.02781153633333333
2017-05-19,0.03196158037500001
2017-05-20,0.032318288666666674
2017-05-21,0.04251144604166668
2017-05-22,0.03835633645833334
2017-05-23,0.03706058470833333
2017-05-24,0.027815155374999997
2017-05-25,0.019134282916666665
2017-05-26,0.021372940625
2017-05-27,0.016825793625
2017-05-28,0.0102606195
2017-05-29,0.006758398583333332
2017-05-30,0.015713481874999997
2017-05-31,0.012304150000000002
2017-06-01,0.022554401458333335
2017-06-02,0.023709163125
2017-06-03,0.029583507791666668
2017-06-04,0.032553179583333335
2017-06-05,0.041230181
2017-06-06,0.030545474000000006
2017-06-07,0.039564563125
2017-06-08,0.03257214833333333
2017-06-09,0.03405504733333333
2017-06-10,0.033833471875
2017-06-11,0.03478690745833334
2017-06-12,0.030682128958333336
2017-06-13,0.03635488895833333
2017-06-14,0.021727905458333335
2017-06-15,0.040030008416666665
2017-06-16,0.017675529291666662
2017-06-17,0.029489096499999996
2017-06-18,0.030974729375
2017-06-19,0.030426674499999997
2017-06-20,0.04212255320833333
2017-06-21,0.03738798083333334
2017-06-22,0.042770141208333334
2017-06-23,0.0412682
2017-06-24,0.016732547499999997
2017-06-25,0.037557131083333334
2017-06-26,0.04047457679166667
2017-06-27,0.034510511833333334
2017-06-28,0.03290766879166667
2017-06-29,0.031128123208333334
2017-06-30,0.02246124341666667
2017-07-01,0.004805781541666667
2017-07-02,0.015332368208333334
2017-07-03,0.040103698583333326
2017-07-04,0.03601047833333334
2017-07-05,0.03392382712499999
2017-07-06,0.020696609291666664
2017-07-07,0.032915123333333345
2017-07-08,0.05481079833333333
2017-07-09,0.041148129625
2017-07-10,0.038085362958333334
2017-07-11,0.02085783570833333
2017-07-12,0.023500748374999995
2017-07-13,0.061035907333333334
2017-07-14,0.053010610083333326
2017-07-15,0.046397833833333325
2017-07-16,0.05226168187499999
2017-07-17,0.04577868854166667
2017-07-18,0.027889137916666664
2017-07-19,0.022277022041666667
2017-07-20,0.02415217733333333
2017-07-21,0.008346456833333333
2017-07-22,0.026201804
2017-07-23,0.03576067104166667
2017-07-24,0.042433859666666664
2017-07-25,0.05264538270833333
2017-07-26,0.06420500166666666
2017-07-27,0.05451089533333334
2017-07-28,0.04241188429166667
2017-07-29,0.04761950479166668
2017-07-30,0.06350276758333333
2017-07-31,0.03900382045833333
2017-08-01,0.03717557
2017-08-02,0.04286625791666666
2017-08-03,0.04657041241666665
2017-08-04,0.041412671958333334
2017-08-05,0.03764162225
2017-08-06,0.04527156829166667
2017-08-07,0.044934112000000005
2017-08-08,0.04875555283333335
2017-08-09,0.045215592624999995
2017-08-10,0.04519237279166668
2017-08-11,0.053771773958333324
2017-08-12,0.05416893970833333
2017-08-13,0.03883885116666667
2017-08-14,0.02817360316666667
2017-08-15,0.04121112704166666
2017-08-16,0.039463705375000005
2017-08-17,0.04152955704166666
2017-08-18,0.04270074899999999
2017-08-19,0.048689231375
2017-08-20,0.051724061666666654
2017-08-21,0.048000568583333326
2017-08-22,0.06291275466666667
2017-08-23,0.062644474125
2017-08-24,0.06626090033333333
2017-08-25,0.03986535224999999
2017-08-26,0.030905750125000003
2017-08-27,0.04513533970833333
2017-08-28,0.05194094733333332
2017-08-29,0.046556615208333325
2017-08-30,0.046557479000000006
2017-08-31,0.051701267833333335
2017-09-01,0.04832128195833333
2017-09-02,0.04165210770833333
2017-09-03,0.05745511262499999
2017-09-04,0.06926125491666667
2017-09-05,0.06283667316666666
2017-09-06,0.053174731041666666
2017-09-07,0.06265516854166668
2017-09-08,0.05515803099999999
2017-09-09,0.07742660758333333
2017-09-10,0.058404049625
2017-09-11,0.07154106504166668
2017-09-12,0.05974364983333333
2017-09-13,0.05000304120833333
2017-09-14,0.058513182916666656
2017-09-15,0.07614776416666667
2017-09-16,0.07589969304166669
2017-09-17,0.062056513125
2017-09-18,0.059149775125000005
2017-09-19,0.05179124983333333
2017-09-20,0.061692325624999995
2017-09-21,0.07314238733333335
2017-09-22,0.053572991083333334
2017-09-23,0.03184431758333334
2017-09-24,0.04500531291666667
